Player,Span,Mat,Inns,NO,Runs,HS,Ave,SR,100,50,0
Shahbaz Ahmed,2023-2023,2,-,0,-,-,-,0.0,-,-,-
NA Saini,2019-2021,11,3,3,12,11*,-,109.09,-,-,-
R Sai Kishore,2023-2023,3,-,0,-,-,-,0.0,-,-,-
C Sakariya,2021-2021,2,1,1,5,5*,-,55.55,-,-,-
SV Samson,2015-2023,24,21,2,374,77,19.68,133.57,-,1,1
Sandeep Sharma,2015-2015,2,1,1,1,1*,-,100.0,-,-,-
S Sandeep Warrier,2021-2021,1,-,0,-,-,-,0.0,-,-,-
V Sehwag,2006-2012,19,18,0,394,68,21.88,145.38,-,2,1
V Shankar,2018-2019,9,4,0,101,43,25.25,138.35,-,-,-
I Sharma,2008-2013,14,3,2,8,5*,8.00,88.88,-,-,1
JM Sharma,2023-2024,9,7,0,100,35,14.28,147.05,-,-,1
KV Sharma,2014-2014,1,-,0,-,-,-,0.0,-,-,-
MM Sharma,2014-2015,8,2,2,3,3*,-,42.85,-,-,-
R Sharma,2012-2012,2,-,0,-,-,-,0.0,-,-,-
RG Sharma,2007-2024,150,142,17,3853,118,30.82,139.09,4,29,12
PP Shaw,2021-2021,1,1,0,-,0,0.00,0.0,-,-,1
Shivam Mavi,2023-2023,6,2,0,28,26,14.00,155.55,-,-,-
Shubman Gill,2023-2024,14,14,1,335,126*,25.76,147.57,1,1,1
RK Singh,2023-2024,14,10,6,287,68*,71.75,176.07,-,1,-
RP Singh,2007-2009,10,2,2,3,2*,-,100.0,-,-,-
BB Sran,2016-2016,2,-,0,-,-,-,0.0,-,-,-
S Sreesanth,2006-2008,10,3,2,20,19*,20.00,142.85,-,-,1
SR Tendulkar,2006-2006,1,1,0,10,10,10.00,83.33,-,-,-
SN Thakur,2018-2022,25,6,3,69,22*,23.00,181.57,-,-,2
NT Tilak Varma,2023-2024,16,15,5,336,55*,33.60,139.41,-,2,2
MK Tiwary,2011-2012,3,1,0,15,15,15.00,88.23,-,-,-
RA Tripathi,2023-2023,5,5,0,97,44,19.40,144.77,-,-,1
S Tyagi,2009-2009,1,-,0,-,-,-,0.0,-,-,-
Umran Malik,2022-2023,8,2,2,5,4*,-,250.0,-,-,-
JD Unadkat,2016-2018,10,-,0,-,-,-,0.0,-,-,-
RV Uthappa,2007-2015,13,12,2,249,50,24.90,118.0,-,1,1
CV Varun,2021-2021,6,1,0,-,0,0.00,0.0,-,-,1
M Vijay,2010-2015,9,9,0,169,48,18.77,109.74,-,-,1
R Vinay Kumar,2010-2013,9,1,1,2,2*,-,50.0,-,-,-
Washington Sundar,2017-2024,42,15,5,107,50,10.70,150.7,-,1,4
SA Yadav,2021-2023,60,57,10,2141,117,45.55,171.55,4,17,3
UT Yadav,2012-2022,9,2,1,22,20*,22.00,104.76,-,-,-
Yuvraj Singh,2007-2017,58,51,9,1177,77*,28.02,136.38,-,8,1
